customer_id,customer_name,email,registration_date,customer_type,city,state,region
98,Samaksh Bajwa,jkohli@example.net,2025-03-14,PREMIUM,Erode,Nagaland,North
99,Advaith Comar,wkari@example.net,2024-03-29,PREMIUM,Ranchi,Haryana,South
100,Nikita Kothari,yashodasahota@example.org,2024-02-26,REGULAR,Buxar,Manipur,East
101,Daksha Gokhale,xanne@example.org,2024-06-01,PREMIUM,Satna,Uttarakhand,East
102,Januja Kibe,dhritinatarajan@example.com,2025-08-25,REGULAR,Hosur,Nagaland,West
103,Gaurangi Kalita,ijaya97@example.com,2024-08-05,REGULAR,Srinagar,West Bengal,West
104,Riya Mannan,faqid54@example.com,2024-03-01,VIP,Bidar,Chhattisgarh,East
105,Ekapad Sachdeva,ygill@example.org,2025-10-23,VIP,Mirzapur,Tamil Nadu,East
106,Yamini Nagy,champakbrahmbhatt@example.net,2023-08-14,PREMIUM,Jorhat,Tamil Nadu,West
107,Oliver Manda,obhatnagar@example.org,2024-04-01,VIP,Ongole,Rajasthan,East
108,Chandran Chana,anusha07@example.org,2024-08-16,PREMIUM,Bareilly,Manipur,North
109,Oni Choudhry,anvi93@example.net,2023-11-12,VIP,Serampore,Karnataka,East
110,Chameli Bhardwaj,watwal@example.net,2024-10-20,VIP,Sambalpur,Tripura,East
111,Rachita Borra,uppalkevin@example.net,2024-04-16,PREMIUM,Durg,Rajasthan,North
112,Mason Sule,tara50@example.org,2024-02-17,PREMIUM,Amravati,Punjab,South
113,Sneha Mitra,wloke@example.org,2024-03-03,PREMIUM,Madanapalle,Maharashtra,North
114,Dayita Guha,yagate@example.net,2024-06-16,REGULAR,Tinsukia,Punjab,North
115,Aryan Dhar,sodhiyashasvi@example.net,2024-10-13,PREMIUM,Dehri,Uttar Pradesh,South
116,Aarnav Atwal,mrai@example.net,2025-11-08,REGULAR,Patiala,Mizoram,West
117,Samuel Nagi,ojasviramakrishnan@example.org,2024-04-06,PREMIUM,Tezpur,Andhra Pradesh,East
118,Ekiya Prabhu,dateharshil@example.org,2026-02-21,PREMIUM,Bharatpur,Punjab,South
119,Meera Sathe,nathanielpall@example.org,2024-05-23,REGULAR,Solapur,Odisha,East
120,Tejas Sen,sinhazayan@example.com,2025-03-04,REGULAR,Anantapuram,Kerala,South
121,Januja Ahuja,kaletara@example.net,2025-09-26,VIP,Berhampore,Chhattisgarh,North
122,Frado Dhingra,ckala@example.org,2024-11-23,VIP,Berhampur,Goa,South
123,Yug D’Alia,ansh31@example.net,2023-09-26,REGULAR,Karimnagar,Tripura,East
124,Urvi Natt,xiti94@example.com,2024-04-05,REGULAR,Kurnool,Mizoram,South
125,Charles Bhat,lajita13@example.org,2025-03-04,PREMIUM,Amravati,Uttar Pradesh,East
126,Abeer Gokhale,nihalwali@example.com,2024-09-05,PREMIUM,Ajmer,Odisha,South
127,Ekantika Tailor,sanghvidominic@example.com,2024-01-01,VIP,Purnia,Sikkim,East
128,Arjun Sharaf,palanaadhya@example.org,2025-04-05,VIP,Shimoga,Kerala,South
129,Advaith Pall,fariq86@example.org,2023-07-29,PREMIUM,Berhampore,Odisha,East
130,Raksha Bhandari,dewanleela@example.net,2023-12-30,VIP,Giridih,Gujarat,West
131,Leena Parikh,tarakkant@example.net,2024-08-04,VIP,Kalyan-Dombivli,West Bengal,East
132,Dipta Cherian,ytara@example.net,2025-10-28,PREMIUM,Dehri,Karnataka,South
133,Ojas Chowdhury,tsura@example.net,2025-03-29,VIP,Etawah,Chhattisgarh,East
134,Lohit Chaudhry,omital@example.net,2026-03-12,VIP,Begusarai,Telangana,West
135,Ati Thaker,vedant48@example.net,2025-03-03,PREMIUM,Dhule,Manipur,South
136,Zilmil Balakrishnan,rachita23@example.org,2023-07-16,VIP,Ratlam,Telangana,South
137,Ayush Chacko,isaiahmuni@example.net,2025-07-21,PREMIUM,Karawal Nagar,Madhya Pradesh,East
138,Pratyush Gola,chavvi84@example.net,2025-04-06,REGULAR,Karnal,Himachal Pradesh,East
139,Qasim Tak,xyohannan@example.com,2025-01-18,REGULAR,Kulti,Telangana,West
140,Sai Prasad,naksh17@example.com,2025-07-21,VIP,Bhalswa Jahangir Pur,Manipur,East
141,Vasatika Datta,gsood@example.net,2025-11-03,PREMIUM,Berhampur,Tripura,South
142,Lekha Batta,rmistry@example.net,2025-05-24,PREMIUM,Gandhinagar,Manipur,West
143,Mohini Bhagat,aachal04@example.com,2023-11-09,VIP,Malegaon,West Bengal,East
144,Bina Mahajan,qnarayanan@example.com,2025-11-13,VIP,Moradabad,Manipur,West
145,Hardik Raj,nsuri@example.net,2024-02-12,REGULAR,Kamarhati,Maharashtra,West
146,William Chand,abasu@example.net,2025-05-30,REGULAR,Dhanbad,Assam,East
147,Amrita Dixit,hmitter@example.org,2025-11-30,PREMIUM,Bardhaman,Jharkhand,South
148,Omya Chad,yashawininatarajan@example.com,2025-03-13,PREMIUM,Silchar,Himachal Pradesh,North
149,Ojasvi Pathak,sinhayashodhara@example.net,2024-08-09,PREMIUM,Sri Ganganagar,West Bengal,North
150,Watika Kuruvilla,oakdev@example.net,2023-11-02,VIP,Yamunanagar,Rajasthan,West
151,Manthan Bora,unni90@example.org,2025-05-12,REGULAR,Sagar,Madhya Pradesh,South
152,Amara Reddy,utkarshkar@example.net,2025-12-21,PREMIUM,Kavali,Goa,East
153,Amruta Narayan,damyanti35@example.com,2023-07-31,VIP,Tinsukia,Jharkhand,South
154,Neel Shukla,shauryananda@example.com,2024-06-22,PREMIUM,Kolhapur,Uttarakhand,North
155,Samuel Chawla,ekantabhargava@example.net,2025-12-13,PREMIUM,Amaravati,Punjab,East
156,Manbir Grewal,gaurang40@example.net,2023-07-31,REGULAR,Navi Mumbai,Mizoram,South
157,Laban Deol,nkorpal@example.org,2025-08-22,VIP,Howrah,Rajasthan,South
158,Atharv Mand,jeet33@example.com,2025-02-25,REGULAR,Nandyal,Tamil Nadu,East
159,Darika Saran,zkalita@example.com,2023-09-18,REGULAR,Siliguri,Telangana,East
160,Rehaan Golla,kalayachana@example.com,2026-02-12,REGULAR,Darbhanga,Tripura,South
161,Zaid Sachdev,mahalbhavika@example.net,2025-01-13,REGULAR,Ambarnath,Nagaland,South
162,Nikita Kalita,jainzashil@example.com,2023-12-08,PREMIUM,Moradabad,Chhattisgarh,West
163,Krisha Hayer,agastya68@example.net,2026-04-25,REGULAR,Sultan Pur Majra,Uttarakhand,West
164,Aarna Vig,warjas53@example.net,2026-03-19,VIP,Nangloi Jat,Bihar,North
165,David Master,tbhagat@example.com,2025-11-19,VIP,Amritsar,Tamil Nadu,North
166,Advika Vohra,harshil34@example.com,2026-04-23,PREMIUM,Anantapur,Maharashtra,East
167,Yachana Halder,hmerchant@example.com,2023-09-15,VIP,Panvel,Mizoram,East
168,Ansh Chaudhry,borahomaja@example.net,2024-11-03,VIP,Aizawl,Tripura,North
169,Qarin Venkataraman,lipika50@example.com,2025-09-11,VIP,Ambala,Odisha,West
170,Amara Sundaram,muttizayyan@example.com,2025-04-20,VIP,Sambhal,Jharkhand,East
171,Chasmum Pall,anvi86@example.net,2024-04-22,PREMIUM,Jalgaon,Odisha,West
172,Megha Balay,aarnav33@example.org,2025-07-14,REGULAR,Saharanpur,Goa,West
173,Rachit Bawa,lankasai@example.org,2024-06-19,REGULAR,Ongole,Bihar,South
174,Forum Dhingra,mkrishnamurthy@example.org,2023-09-30,PREMIUM,Shivpuri,Karnataka,North
175,Lucky D’Alia,girikbhardwaj@example.net,2026-03-16,VIP,Kolhapur,Uttarakhand,East
176,Ijaya Minhas,rayaan21@example.net,2026-04-14,VIP,Aurangabad,Uttarakhand,West
177,Hritik Walia,lmukhopadhyay@example.org,2024-04-08,VIP,Hindupur,Nagaland,East
178,Upadhriti Shere,zgrewal@example.net,2025-05-13,PREMIUM,Nangloi Jat,Mizoram,South
179,Urishilla Pandey,tripathiira@example.com,2023-11-10,REGULAR,Visakhapatnam,Tripura,East
180,Zayyan Kale,yuvrajmenon@example.net,2024-07-23,REGULAR,Loni,Sikkim,North
181,Ethan Narayan,yauvanidayal@example.com,2025-10-22,VIP,Dewas,Nagaland,South
182,Anya Bhardwaj,yashoda82@example.net,2026-03-18,REGULAR,South Dumdum,Mizoram,East
183,Ekta Kata,vvenkatesh@example.com,2023-07-15,VIP,Surat,Gujarat,South
184,Vincent Sengupta,girishsodhi@example.net,2025-06-14,REGULAR,Fatehpur,Himachal Pradesh,West
185,Maya Srinivas,mugdhadhingra@example.org,2026-06-08,VIP,Amravati,Sikkim,East
186,Lekha Kaur,nvarty@example.net,2023-10-11,PREMIUM,Bathinda,Telangana,West
187,Mahika Pandit,mammensaanvi@example.net,2024-05-16,VIP,Ratlam,Gujarat,West
188,Bimala Narasimhan,hegdezashil@example.net,2024-03-07,REGULAR,Mehsana,Tripura,North
189,Watika Dasgupta,jagvirao@example.net,2025-09-13,REGULAR,Thanjavur,Uttarakhand,South
190,Tanmayi Apte,kevin99@example.net,2023-10-15,VIP,Anantapur,Uttar Pradesh,West
191,Agastya Lad,bishakhagargexample.org,2025-11-20,VIP,Madurai,Bihar,North
192,Jyoti Mutti,vyanjanaprabhu@example.net,2024-04-04,REGULAR,Bathinda,Chhattisgarh,West
193,Samuel Iyer,aarushbadami@example.net,2025-11-26,PREMIUM,Buxar,Telangana,South
194,Anika Hora,mtandon@example.org,2024-03-08,VIP,Dhanbad,Tamil Nadu,East
195,Noah Tripathi,spall@example.net,2024-12-15,PREMIUM,Sultan Pur Majra,Uttar Pradesh,West
196,Veer Pandit,dugarwatika@example.net,2026-02-09,REGULAR,Orai,Tamil Nadu,South
197,Oni Deol,nathankhatri@example.net,2024-10-31,REGULAR,Hyderabad,Assam,West
198,Guneet Balakrishnan,naksh31@example.net,2025-01-05,VIP,Agra,Assam,East
199,Aradhana Gara,paninibanerjee@example.com,2026-06-09,REGULAR,Surat,Meghalaya,East
200,Vanya Dey,yadavtheodore@example.net,2024-11-01,PREMIUM,Maheshtala,Mizoram,West
201,Ekavir Contractor,ishani17@example.com,2025-06-28,PREMIUM,Ludhiana,Punjab,North
202,Gaurang Pall,atwaljalsa@example.org,2026-01-11,VIP,Phagwara,Karnataka,South
203,Nikita Nadkarni,tbadal@example.net,2023-12-26,VIP,Nagpur,Bihar,West
204,Ekbal Wadhwa,misralekha@example.org,2025-12-09,PREMIUM,Aizawl,Karnataka,South
205,Rayaan Wagle,nsoni@example.net,2024-01-23,REGULAR,Buxar,Odisha,East
206,Yochana Sawhney,dakshwali@example.com,2024-02-14,VIP,Mangalore,Kerala,South
207,Varenya Lal,kapadiayatan@example.com,2025-12-09,PREMIUM,Pondicherry,Tripura,North
208,Finn Chopra,qkoshy@example.org,2024-02-27,VIP,Sangli-Miraj & Kupwad,Nagaland,North
209,Balveer Edwin,srivastavalajita@example.net,2024-07-16,PREMIUM,Kota,Andhra Pradesh,East
210,Pranav Pandey,ranganathannirja@example.org,2025-08-20,PREMIUM,Amritsar,Andhra Pradesh,South
211,Advay Doshi,wablenidhi@example.com,2024-04-23,PREMIUM,Gandhidham,Arunachal Pradesh,South
212,Qadim Golla,parekhtejas@example.org,2025-03-12,PREMIUM,Imphal,Madhya Pradesh,East
213,Nidhi Badami,pathaksamar@example.com,2025-11-23,VIP,Morbi,Bihar,East
214,Ayush Taneja,lwagleexample.org,2026-06-25,PREMIUM,Surat,Rajasthan,East
215,Farhan Bajwa,ektapalan@example.com,2026-05-24,PREMIUM,Bhilwara,Karnataka,East
216,Ranveer Rastogi,shravya19@example.org,2024-07-25,REGULAR,Tadipatri,Gujarat,West
217,Yasti Sagar,yaminithaman@example.net,2024-06-13,REGULAR,Saharanpur,Chhattisgarh,North
218,Wyatt Gara,jacksonsinha@example.com,2024-01-11,REGULAR,Coimbatore,Rajasthan,West
219,Elijah Sarraf,zdoshi@example.com,2025-01-11,REGULAR,Amravati,Kerala,North
220,Ladli Ratti,mugdhamangal@example.net,2024-02-11,VIP,Raurkela Industrial Township,Assam,West
221,Aarush Banerjee,lopakara@example.com,2025-11-25,VIP,Firozabad,Punjab,South
222,Ekavir Golla,unni87@example.com,2025-11-17,VIP,Ahmedabad,Maharashtra,South
223,Krishna Subramaniam,janyaanand@example.net,2025-09-04,VIP,Shivpuri,Uttarakhand,East
224,Kiaan Iyer,chakrabortyomaja@example.com,2025-12-24,REGULAR,Kavali,Chhattisgarh,South
225,Krisha Bhat,wrau@example.net,2024-05-19,PREMIUM,Moradabad,Arunachal Pradesh,North
226,Sathvik Bansal,varenya10@example.com,2025-01-12,PREMIUM,Hyderabad,Gujarat,North
227,Wriddhish Bala,shivani82@example.com,2023-11-08,PREMIUM,Tinsukia,Mizoram,East
228,Vasana Thakur,sankaralka@example.org,2024-01-09,PREMIUM,Fatehpur,Sikkim,West
229,Rajata Ramachandran,edhithabatra@example.org,2026-02-08,VIP,Gandhinagar,Jharkhand,West
230,Sai Nayak,oeshi78@example.net,2025-08-07,REGULAR,Varanasi,Bihar,East
231,Ridhi Koshy,oakriya@example.org,2025-12-20,PREMIUM,Bhiwani,West Bengal,South
232,Pranav Sankar,kamya48@example.net,2024-06-11,REGULAR,Bhavnagar,Madhya Pradesh,South
233,Gopal Thakur,lbarad@example.net,2023-10-30,REGULAR,Tezpur,Arunachal Pradesh,West
234,Fitan Deep,krishna34@example.com,2024-10-17,PREMIUM,Thoothukudi,Madhya Pradesh,North
235,Amaira Puri,dsuresh@example.org,2025-01-25,PREMIUM,Hospet,Maharashtra,West
236,Krisha Sule,ayush72@example.com,2024-11-15,VIP,Jorhat,Andhra Pradesh,West
237,Ekalinga Banerjee,raunicholas@example.net,2025-07-13,PREMIUM,Akola,Gujarat,South
238,Niharika Varghese,aptefrado@example.org,2024-02-03,VIP,Agra,Chhattisgarh,East
239,Girindra Gera,shankervaishnavi@example.org,2026-03-21,VIP,Adoni,Gujarat,East
240,Dominic Dhaliwal,wallaunni@example.com,2024-02-17,VIP,Katihar,Manipur,West
241,David Dubey,guneet71@example.com,2025-09-06,PREMIUM,Pallavaram,Arunachal Pradesh,East
242,Saanvi Thakkar,chatreshsawhney@example.org,2023-07-25,VIP,Phusro,Tripura,North
243,Lopa Borde,zhayre@example.net,2024-01-05,VIP,Sasaram,Karnataka,East
244,Vrinda Dara,lekhaswamy@example.org,2023-10-06,PREMIUM,Vijayawada,Manipur,South
245,Hritik Mahal,pgade@example.net,2024-12-22,PREMIUM,Bhimavaram,Meghalaya,East
246,Abeer Choudhury,zachariahunnati@example.org,2025-05-01,PREMIUM,Ahmedabad,Arunachal Pradesh,East
247,Maanav Bhat,dbanik@example.com,2025-05-15,VIP,Mathura,Arunachal Pradesh,East
248,Samarth Narasimhan,ishanvi12@example.org,2026-06-16,VIP,Pali,Sikkim,North
249,Guneet Lala,sakshammaster@example.org,2023-12-04,REGULAR,Mira-Bhayandar,Mizoram,West
250,Nicholas Raj,anshsaini@example.com,2025-04-01,VIP,Guna,Mizoram,West
251,Pooja Bahl,yauvaninaidu@example.org,2024-12-09,VIP,Khora ,Meghalaya,North
252,Ayushman Rana,prisha02@example.org,2025-01-22,REGULAR,Tenali,Sikkim,West
253,Jasmit Lanka,raiisha@example.net,2024-11-18,PREMIUM,Sambalpur,Arunachal Pradesh,North
254,Wazir Majumdar,xitidhawan@example.net,2023-09-27,VIP,Kozhikode,Karnataka,West
255,Nitesh Ramaswamy,lekhamann@example.com,2025-05-10,PREMIUM,Muzaffarnagar,Gujarat,South
256,Panini Bhavsar,borahanusha@example.com,2026-03-24,REGULAR,Sagar,Andhra Pradesh,South
257,Bahadurjit Reddy,eshana60@example.com,2024-01-14,PREMIUM,Begusarai,Maharashtra,South
258,Dayita Kadakia,ladgirindra@example.com,2024-11-04,REGULAR,Karimnagar,Sikkim,East
259,Krish Rana,zaid27@example.org,2025-09-16,VIP,Kolkata,Arunachal Pradesh,West
260,Zilmil Iyengar,mkhare@example.net,2025-01-19,PREMIUM,Nandyal,Sikkim,West
261,Gautami Bakshi,jhalakmenon@example.org,2025-08-07,PREMIUM,Bihar Sharif,Andhra Pradesh,East
262,Qabil Prakash,wakeeta46@example.org,2025-03-21,PREMIUM,Kishanganj,Odisha,North
263,Daniel Wable,chandanigola@example.org,2024-06-18,PREMIUM,Mango,Himachal Pradesh,East
264,Utkarsh Karan,wpandey@example.org,2025-10-25,REGULAR,Amritsar,Assam,North
265,Anvi Lad,ojasvi66@example.com,2024-12-04,PREMIUM,Thrissur,Chhattisgarh,North
266,Joshua Pal,owen63@example.net,2025-06-29,PREMIUM,Eluru,Punjab,West
267,David Krishnamurthy,naurora@example.com,2025-10-18,REGULAR,Siliguri,Kerala,West
268,Sara Murthy,schad@example.net,2025-11-17,REGULAR,Firozabad,Mizoram,North
269,Leela Pant,dvala@example.net,2024-05-10,REGULAR,Gaya,West Bengal,South
270,Hitesh Pandya,tejas44@example.org,2024-07-29,VIP,Dindigul,Goa,East
271,Zarna Chaudry,reddyindira@example.org,2023-12-21,REGULAR,Bhagalpur,Goa,South
272,Vritti Sane,baghyawatinarasimhan@example.com,2024-04-20,VIP,Salem,Meghalaya,West
273,Anamika Taneja,xwali@example.net,2023-07-15,PREMIUM,Gopalpur,Assam,East
274,Pahal Dave,keerganga@example.org,2026-06-21,REGULAR,Jodhpur,Bihar,North
275,Fariq Sem,rahuja@example.net,2023-10-01,PREMIUM,Ludhiana,Chhattisgarh,North
276,Pushti Oommen,banikchaaya@example.net,2025-10-16,REGULAR,Srinagar,Tamil Nadu,East
277,Arjun Manne,benjaminkaur@example.org,2024-01-05,PREMIUM,Ozhukarai,Gujarat,East
278,Omkaar Wali,xmitra@example.org,2024-06-25,REGULAR,Bardhaman,Assam,West
279,Jasmit Jain,urvi61@example.com,2025-01-05,REGULAR,Tadipatri,Sikkim,West
280,Aditya Deshpande,varmawatika@example.org,2023-11-21,PREMIUM,Davanagere,Sikkim,West
281,Harish Banerjee,aarush36@example.com,2024-04-16,VIP,Bellary,Chhattisgarh,East
282,Yadavi Khalsa,mandharinakshi@example.org,2025-09-16,REGULAR,Bardhaman,Tripura,East
283,Priya Garde,sampathpavaniexample.net,2024-03-18,PREMIUM,Meerut,Jharkhand,South
284,Brijesh Edwin,onveer63@example.com,2023-09-17,PREMIUM,Ambattur,Arunachal Pradesh,South
